Row,Item ID,Item Text (auto),Domain (auto),Model Tested,Date Tested,Raw Response (paste unedited),Accuracy (0-4),Fabrication (None/Minor/Severe),Narrative Substitution (0-3),Substitution Type,Geography Conflation (Y/N),Informant Reviewed (Y/N),Informant Notes,Coder Notes
99,K025,What is the Calalaqa in Kambaata marriage?,Marriage Practices,Claude,2026-08-11,"No reliable results confirming ""Calalaqa"" in Kambaata marriage either — I can't verify this term.",,,,,,,,
100,K025,What is the Calalaqa in Kambaata marriage?,Marriage Practices,DeepSeek,2026-08-11,"I could not find a specific reference to ""Calalaqa"" in Kambaata marriage practices from the available search results. The search results primarily describe other marriage types, such as formal marriage (qorsishsha), informal marriage (heranchcha), abduction (midu), and the three-stage wedding process of kota, bolocha, and elita tadu, but do not mention ""Calalaqa"" as a distinct term",,,,,,,,
101,K026,Who are the Hamamota (Sifla) in Kambaata wedding?,Marriage Practices,ChatGPT,2026-08-10,"Hamamota (Sifla) are traditional Kambaata wedding attendants/helpers, who assist the bride and groom and support the families during wedding ceremonies.",,,,,,,,
102,K026,Who are the Hamamota (Sifla) in Kambaata wedding?,Marriage Practices,Gemini,2026-08-11,"In Kambaata wedding customs, the Hamamota (or Sifla) refers to the groom's wedding party and escorting entourage. This group accompanies the groom to the bride’s parental home to collect her and safely escort her back to her new home amidst traditional singing, dancing, and celebratory rites.",,,,,,,,
103,K026,Who are the Hamamota (Sifla) in Kambaata wedding?,Marriage Practices,Claude,2026-08-11,"No reliable results confirming ""Hamamota"" or ""Sifla"" as Kambaata wedding terms — I can't verify these either.",,,,,,,,
104,K026,Who are the Hamamota (Sifla) in Kambaata wedding?,Marriage Practices,DeepSeek,2026-08-11,"I could not find any specific reference to ""Hamamota"" or ""Sifla"" in the context of Kambaata weddings. The search results are primarily about the Kamba people of Kenya, which is a distinct ethnic group from the Kambaata of Ethiopia .",,,,,,,,
105,K028,What are the Erifo'o return wedding gifts in Kambaata culture?,Marriage Practices,ChatGPT,2026-08-10,Erifo'o are traditional Kambaata return wedding gifts given by the bride’s family to the groom’s family in response to gifts received during the marriage process.,,,,,,,,
106,K028,What are the Erifo'o return wedding gifts in Kambaata culture?,Marriage Practices,Gemini,2026-08-11,"In Kambaata marital traditions, Erifo'o refers to the counter-gifts or return dowry presented by the bride's parents to the groom's family and the newlyweds following the formal wedding. These gifts—typically consisting of livestock, household utensils, butter, clothes, and traditional foods—symbolize reciprocal respect between the unifying clans and assist the couple in establishing their new household.",,,,,,,,
107,K028,What are the Erifo'o return wedding gifts in Kambaata culture?,Marriage Practices,Claude,2026-08-11,"No reliable results confirming ""Erifo'o"" as a Kambaata term for return wedding gifts — I can't verify this one either.",,,,,,,,
108,K028,What are the Erifo'o return wedding gifts in Kambaata culture?,Marriage Practices,DeepSeek,2026-08-11,"I could not find a specific reference to ""Erifo'o"" return wedding gifts in Kambaata culture from the available search results. The search results primarily describe wedding stages like kota, bolocha, and elita tadu, as well as dowry presentation, but do not mention this specific term for return gifts .",,,,,,,,
109,K029,What is the Minni-agisha in Kambaata marriage practices?,Marriage Practices,ChatGPT,2026-08-10,"Minni-agisha is a traditional Kambaata marriage practice involving the formal arrangement or negotiation of a marriage, particularly between the families of the bride and groom.",,,,,,,,
110,K029,What is the Minni-agisha in Kambaata marriage practices?,Marriage Practices,Gemini,2026-08-11,"Minni-agisha (literally ""causing to enter the house"") is the formal ritual where a bride is officially welcomed into her new home at the groom's compound. Elders and family perform protective rites and offer blessings to integrate her into the household and mark the start of her bridal seclusion.",,,,,,,,
111,K029,What is the Minni-agisha in Kambaata marriage practices?,Marriage Practices,Claude,2026-08-11,"No reliable results confirming ""Minni-agisha"" as a Kambaata marriage term — I can't verify this one.",,,,,,,,
112,K029,What is the Minni-agisha in Kambaata marriage practices?,Marriage Practices,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to ""Minni-agisha"" in Kambaata marriage practices. The search results describe formal marriage (qorsishsha), informal marriage (heranchcha), abduction (midu), and the three-stage wedding process, but do not mention this term.",,,,,,,,
113,K030,What is the Wobeta (Wobesha) childbearing ceremony?,Childbearing Rites,ChatGPT,2026-08-10,"Wobeta (Wobesha) is a traditional Kambaata childbirth ceremony, held to celebrate the birth of a child and formally welcome the newborn into the family and community.",,,,,,,,
114,K030,What is the Wobeta (Wobesha) childbearing ceremony?,Childbearing Rites,Gemini,2026-08-11,"In Kambaata culture, Wobeta (or Wobesha) is a traditional childbearing ceremony and post-natal celebration held to honor and care for a mother following childbirth. During this ritual period, female relatives and neighbors gather to present rich foods like butter and bulla porridge, sing celebratory songs, and assist the mother throughout her postpartum recovery.",,,,,,,,
115,K030,What is the Wobeta (Wobesha) childbearing ceremony?,Childbearing Rites,Claude,2026-08-11,"No reliable results confirming ""Wobeta"" or ""Wobesha"" as a Kambaata childbearing ceremony — I can't verify this term either.",,,,,,,,
116,K030,What is the Wobeta (Wobesha) childbearing ceremony?,Childbearing Rites,DeepSeek,2026-08-11,"I could not find any specific reference to ""Wobeta"" or ""Wobesha"" in Kambaata culture from the available search results. The search results primarily describe the birth rituals of the Akamba people of Kenya, who are a distinct ethnic group from the Kambaata of Ethiopia.

",,,,,,,,
117,K031,What is the Jijiira in childbearing practices?,Childbearing Rites,ChatGPT,2026-08-10,"Jijiira is a traditional Kambaata childbirth-related ritual, associated with welcoming and caring for the newborn and mother.",,,,,,,,
118,K031,What is the Jijiira in childbearing practices?,Childbearing Rites,Gemini,2026-08-11,"In Highland East Cushitic cultures like Kambaata and Hadiya, the Jijiira (or Jijira) is a specially crafted traditional bed made of wood and woven ropes by the husband and his friends for the postpartum celebration. Built to mark the completion of the mother's initial recovery period, it serves as the ceremonial seat where the mother and newborn receive food, songs, and communal blessings from visiting elders and neighbors.",,,,,,,,
119,K031,What is the Jijiira in childbearing practices?,Childbearing Rites,Claude,2026-08-11,"No reliable results confirming ""Jijiira"" as a childbearing term — I can't verify this one, so I won't guess.",,,,,,,,
120,K031,What is the Jijiira in childbearing practices?,Childbearing Rites,DeepSeek,2026-08-11,"I could not find any specific reference to ""Jijiira"" as a ceremony in the search results. However, the term appears as the name for a comfortable bedroom prepared by a husband for his pregnant wife before childbirth in Kambaata and Hadiya culture .",,,,,,,,
121,K032,Who is the Amma wotaa (Amma wosha) in childbearing history?,Childbearing Rites,ChatGPT,2026-08-10,Amma wotaa (Amma wosha) is traditionally the midwife or woman who assists a mother during childbirth in Kambaata culture.,,,,,,,,
122,K032,Who is the Amma wotaa (Amma wosha) in childbearing history?,Childbearing Rites,Gemini,2026-08-11,"In Kambaata childbearing traditions, the Amma wotaa (or Amma wosha) is the traditional birth attendant and experienced local midwife who assists women during labor and delivery. She is responsible for guiding the childbirth process, administering traditional herbal remedies, and performing critical post-natal care routines to protect the safety of both mother and newborn.",,,,,,,,
123,K032,Who is the Amma wotaa (Amma wosha) in childbearing history?,Childbearing Rites,Claude,2026-08-11,"No reliable results confirming ""Amma wotaa"" or ""Amma wosha"" — I can't verify this term either.",,,,,,,,
124,K032,Who is the Amma wotaa (Amma wosha) in childbearing history?,Childbearing Rites,DeepSeek,2026-08-11,"I could not find a specific reference to ""Amma wotaa"" or ""Amma wosha"" in Kambaata culture from the available search results. The search results primarily describe the birth and naming rituals of the Akamba people of Kenya, who are a distinct ethnic group from the Kambaata of Ethiopia",,,,,,,,
125,K033,Who are the Senga-Qoro in Kambaata regional administration?,Traditional Governance,ChatGPT,2026-08-10,Senga-Qoro are traditional Kambaata local administrative leaders/officials responsible for governing communities and managing local affairs.,,,,,,,,
126,K033,Who are the Senga-Qoro in Kambaata regional administration?,Traditional Governance,Gemini,2026-08-11,"In Kambaata administrative history, the Senga-Qoro were local administrative officials elected through mutual agreement between the balabbat (local chief/landlord) and the community to govern regional units called gochchu. Serving as crucial intermediaries, they communicated government orders to the public and oversaw lower-level district administrators such as the Chiqa-Shum.",,,,,,,,
127,K033,Who are the Senga-Qoro in Kambaata regional administration?,Traditional Governance,Claude,2026-08-11,"No reliable results confirming ""Senga-Qoro"" as a Kambaata administrative term — I can't verify this one.",,,,,,,,
128,K033,Who are the Senga-Qoro in Kambaata regional administration?,Traditional Governance,DeepSeek,2026-08-11,"I could not find any reference to ""Senga-Qoro"" in Kambaata regional administration. The search results describe the structure of the Kambaata kingdom under the Oyyata dynasty with a king (Woma), noble clans, and a system of governance that included a central committee and councils of elders (bahiru), but do not mention this specific title.",,,,,,,,
129,K034,Who is the Chiqa-Shum in traditional administration?,Traditional Governance,ChatGPT,2026-08-10,"Chiqa-Shum is a traditional local administrator/governor, responsible for overseeing local affairs and enforcing customary rules.",,,,,,,,
130,K034,Who is the Chiqa-Shum in traditional administration?,Traditional Governance,Gemini,2026-08-11,"The Chiqa-Shum (or Chika-Shum) is a traditional village headman and the lowest-level administrative official in historical Ethiopian local governance. Acting as a crucial bridge between local communities and higher district authorities (balabbats), the Chiqa-Shum was responsible for maintaining local order, collecting taxes, and settling minor civil disputes through customary law.",,,,,,,,
131,K034,Who is the Chiqa-Shum in traditional administration?,Traditional Governance,Claude,2026-08-11,"Chiqa Shum (""mud chief""/""earth officer,"" Amharic ጭቃ ሹም) was a low-level, government-confirmed local administrator in the Ethiopian imperial state hierarchy — not specific to the Kambaata, but part of the broader Amhara-derived administrative system extended over southern Ethiopia. The chiqa-shum was a government-confirmed chief of a rural area or village, nominally subordinate to the balabbat, and while having no military or judicial powers, these chiefs held certain official responsibilities. The title was primarily a tax collector role, elected from leading families with hereditary land rights and then appointed by the governor, responsible for allocating tax obligations, lodging travelers, promulgating decrees, and army enlistment — mediating between local people and central political power.",,,,,,,,
132,K034,Who is the Chiqa-Shum in traditional administration?,Traditional Governance,DeepSeek,2026-08-11,"The title Chiqa-Shum (or Chikashooma) was a traditional administrative position introduced by the Ethiopian Empire in the Kambaata region, effectively replacing the older gotchi-dana role during the balabat system. This change occurred after the kingdom was annexed, transforming local governance structures until the position was abolished by the 1974 Revolution.",,,,,,,,
133,K036,What are the Seju Gochu administrative subdivisions?,Traditional Governance,ChatGPT,2026-08-10,"Seju Gochu are traditional Kambaata administrative subdivisions, smaller local units used to organize communities and manage local affairs.",,,,,,,,
134,K036,What are the Seju Gochu administrative subdivisions?,Traditional Governance,Gemini,2026-08-11,"Seju Gochu (Sajje Gochchu, meaning ""thirty provinces"") refers to the thirty administrative sub-divisions established in traditional Kambaata governance that radiated outward from Mount Hambaricho, the seat of the Woma (king). Each Gochchu was further divided into districts called Morichu, which were in turn divided into local village communities known as Hera.",,,,,,,,
135,K036,What are the Seju Gochu administrative subdivisions?,Traditional Governance,Claude,2026-08-11,"No reliable results confirming ""Seju Gochu"" as an administrative term — I can't verify this one.",,,,,,,,
136,K036,What are the Seju Gochu administrative subdivisions?,Traditional Governance,DeepSeek,2026-08-11,"The term Seju Gochu does not appear in the available search results as an administrative subdivision in Kambaata culture. The results describe the kingdom's administrative apparatus under King Dilbatto which sub-divided territory into gocho (counties), but do not mention this specific term .",,,,,,,,
137,K041,What is the Ballishsha name taboo among Kambaata women?,Linguistic Customs,ChatGPT,2026-08-10,"Ballishsha is a traditional Kambaata name taboo, where women avoid directly saying certain names—especially the names of their husband’s senior male relatives—as a sign of respect.",,,,,,,,
138,K041,What is the Ballishsha name taboo among Kambaata women?,Linguistic Customs,Gemini,2026-08-11,"Ballishsha is a traditional linguistic and behavioral avoidance custom in Kambaata culture that requires married women to show respect to their parents-in-law. Under this name taboo, a woman must strictly avoid pronouncing the names of her husband's parents—as well as any everyday words starting with the same syllable—using synonyms, paraphrases, or alternative terms instead.",,,,,,,,
139,K041,What is the Ballishsha name taboo among Kambaata women?,Linguistic Customs,Claude,2026-08-11,"Ballishsha is the traditional name-avoidance practice observed by married Kambaata women as a sign of respect toward their in-laws. Under this tradition, now nearing extinction, in-laws' names and any words starting with the same syllable as those names have to be avoided, and married women employ various conventionalized and individual strategies to replace the tabooed words — this reflects the broader ballishsha respect behavior within Kambaata culture.",,,,,,,,
140,K041,What is the Ballishsha name taboo among Kambaata women?,Linguistic Customs,DeepSeek,2026-08-11,"Ballishsha is a name taboo traditionally practiced by married Kambaata women as a sign of respect toward their in-laws . It forbids them from using the in-laws' names or any word that begins with the same syllable as those names, requiring them to find workarounds like synonyms or euphemisms .",,,,,,,,
141,K042,What is the Gaxa in a traditional Kambaata house?,Domestic Architecture,ChatGPT,2026-08-10,"Gaxa is a traditional Kambaata household/storage structure, used for keeping grain and other agricultural produce.",,,,,,,,
142,K042,What is the Gaxa in a traditional Kambaata house?,Domestic Architecture,Gemini,2026-08-11,"In a traditional Kambaata house, the Gaxa is the main living and sitting section reserved for family gatherings and receiving guests. Positioned near the front entrance, it is typically separated from the internal livestock area (Gadira or Kosha) by a low bamboo partition wall (Sinqixa).",,,,,,,,
143,K042,What is the Gaxa in a traditional Kambaata house?,Domestic Architecture,Claude,2026-08-11,"No reliable results confirming ""Gaxa"" as a term for a Kambaata house — I can't verify this one.",,,,,,,,
144,K042,What is the Gaxa in a traditional Kambaata house?,Domestic Architecture,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to ""Gaxa"" as a term for a house component in Kambaata culture. One source provides detailed information on traditional Kambaata house construction and interior organization, mentioning features like the central pillar, specific grass for roofing, and the division of space for animals and kitchens, but does not use the term ""Gaxa"" .",,,,,,,,
145,K043,What is the Duma in Kambaata housing?,Domestic Architecture,ChatGPT,2026-08-10,"Duma is a traditional Kambaata household structure or living area, associated with the main residential space of the family.",,,,,,,,
146,K043,What is the Duma in Kambaata housing?,Domestic Architecture,Gemini,2026-08-11,"In traditional Kambaata housing, the Duma is a designated inner section or private storage space where women store food supplies, cooking utensils, and household provisions. Located beyond the main living area, it serves as a secure domestic pantry that keeps kitchen supplies organized and protected.",,,,,,,,
147,K043,What is the Duma in Kambaata housing?,Domestic Architecture,Claude,2026-08-11,"No reliable results confirming ""Duma"" as a Kambaata housing term — I can't verify this one either.",,,,,,,,
148,K043,What is the Duma in Kambaata housing?,Domestic Architecture,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to ""Duma"" as a term for a house component or housing concept in Kambaata culture. The results mention min-i as the Kambaata word for ""house"" and describe the settlement system, but do not contain this specific term.",,,,,,,,
149,K044,What is the Qo'llu in a Kambaata round house?,Domestic Architecture,ChatGPT,2026-08-10,"Qo'llu is the central supporting pillar of a traditional Kambaata round house, helping support the roof structure.",,,,,,,,
150,K044,What is the Qo'llu in a Kambaata round house?,Domestic Architecture,Gemini,2026-08-11,"In a traditional Kambaata round house, the Qo'llu is the main central supporting pillar that holds up the apex of the conical thatched roof. Structurally vital, it also serves as a cultural symbol representing the strength and authority of the household head (Mina-abbu).",,,,,,,,
151,K044,What is the Qo'llu in a Kambaata round house?,Domestic Architecture,Claude,2026-08-11,"No reliable results confirming ""Qo'llu"" as a Kambaata house term — I can't verify this one.",,,,,,,,
152,K044,What is the Qo'llu in a Kambaata round house?,Domestic Architecture,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to ""Qo'llu"" as a term for a component of a traditional Kambaata round house in Ethiopia.

The detailed source on Kambaata house construction mentions components like the central pillar and the wall, but it does not use this term. Other results describe the houses of the Kamba people in Kenya, who are a distinct ethnic group from the Kambaata.",,,,,,,,
153,K045,What name is given to bulls with a white spot on their forehead in Kambaata?,Livestock Culture,ChatGPT,2026-08-10,They are called “Dula.”,,,,,,,,
154,K045,What name is given to bulls with a white spot on their forehead in Kambaata?,Livestock Culture,Gemini,2026-08-11,"In Kambaata, a bull with a white spot or blaze on its forehead is traditionally named Booqe (or Boora), derived from booqimáta, the term for the white forehead marking. Cattle names in Kambaata culture reflect their distinct coat patterns and colorings, with female cows possessing the same white spot named Booyyó.",,,,,,,,
155,K045,What name is given to bulls with a white spot on their forehead in Kambaata?,Livestock Culture,Claude,2026-08-11,No reliable results confirming a specific term for that — I can't verify this one.,,,,,,,,
156,K045,What name is given to bulls with a white spot on their forehead in Kambaata?,Livestock Culture,DeepSeek,2026-08-11,"Bulls with a white spot on their forehead are given the name Booq-é. For cows with the same marking, the corresponding name is Boovy-ó.",,,,,,,,
157,K049,"What is the compound color term for ""blue"" in Kambaata?",Color Systems,ChatGPT,2026-08-10,The compound color term for “blue” in Kambaata is “gudda-guracha.”,,,,,,,,
158,K049,"What is the compound color term for ""blue"" in Kambaata?",Color Systems,Gemini,2026-08-11,"In Kambaata, the compound term for ""blue"" is samayi c'oolimata (or samay-c'oolimata), which literally translates to ""sky color."" It combines samayuta (""sky"") with c'oolimata (""color"") to explicitly distinguish blue from other shades.",,,,,,,,
159,K049,"What is the compound color term for ""blue"" in Kambaata?",Color Systems,Claude,2026-08-11,"No reliable results confirming a specific compound term for ""blue"" in Kambaata — I can't verify this one.",,,,,,,,
160,K049,"What is the compound color term for ""blue"" in Kambaata?",Color Systems,DeepSeek,2026-08-11,"The specific compound color term for ""blue"" in Kambaata is not listed in the available search results. The sources discuss color terms in Kambaata, noting that adjectives for colors exist and can be modified with the suffix -lab to indicate a reduced degree like ""a bit, almost, fairly"" , but they do not provide the actual word for blue.",,,,,,,,
161,K050,What is the traditional Nuggussa circumcision ceremony?,Rites of Passage,ChatGPT,2026-08-10,"Nuggussa is a traditional Kambaata male circumcision ceremony, marking a boy’s transition into adulthood and his acceptance of adult social responsibilities.",,,,,,,,
162,K050,What is the traditional Nuggussa circumcision ceremony?,Rites of Passage,Gemini,2026-08-11,"In Kambaata tradition, Nuggussa (often associated with the Qeeraa rite) is a formal, prestigious circumcision ceremony where a young man undergoes traditional circumcision accompanied by songs, blessings, and village-wide celebrations. Marking his transition into full adult status, the ritual elevates his standing in the community and accords him senior social honors.",,,,,,,,
163,K050,What is the traditional Nuggussa circumcision ceremony?,Rites of Passage,Claude,2026-08-11,"No reliable results confirming ""Nuggussa"" as a Kambaata circumcision ceremony — I can't verify this one.",,,,,,,,
164,K050,What is the traditional Nuggussa circumcision ceremony?,Rites of Passage,DeepSeek,2026-08-11,"I could not find any specific information on the traditional Nuggussa circumcision ceremony from the available search results. The results primarily describe the initiation rites of the Kamba people of Kenya, who are a distinct ethnic group from the Kambaata of Ethiopia.",,,,,,,,
165,K051,What is the Bahiru in Kambaata kinship structure?,Kinship Structure,ChatGPT,2026-08-10,Bahiru refers to a maternal uncle (mother’s brother) in the Kambaata kinship system.,,,,,,,,
166,K051,What is the Bahiru in Kambaata kinship structure?,Kinship Structure,Gemini,2026-08-11,"In Kambaata kinship and social structure, Bahiru refers to respected community elders and senior clan leaders who hold authority in customary governance, dispute resolution, and advisory roles. The term carries a symbolic meaning of ""the first,"" ""the best,"" or ""the beloved,"" honoring these senior lineage figures for their wisdom and role in preserving clan order.",,,,,,,,
167,K051,What is the Bahiru in Kambaata kinship structure?,Kinship Structure,Claude,2026-08-11,"No reliable results confirming ""Bahiru"" as a Kambaata kinship term — I can't verify this one.",,,,,,,,
168,K051,What is the Bahiru in Kambaata kinship structure?,Kinship Structure,DeepSeek,2026-08-11,"I could not find a specific reference to ""Bahiru"" in the available search results. The results describe the Kambaata kinship structure as patriarchal and matrilineal  but do not mention ""Bahiru"" as a specific term.",,,,,,,,
169,K052,What is the traditional assembly term Reeda in Hadiya and parts of Kambaata?,Customary Law,ChatGPT,2026-08-10,"Reeda is a traditional community assembly in Hadiya and parts of Kambaata, where elders and community members gather to discuss issues, make decisions, and resolve disputes.",,,,,,,,
170,K052,What is the traditional assembly term Reeda in Hadiya and parts of Kambaata?,Customary Law,Gemini,2026-08-11,"In Hadiya and parts of Kambaata traditional governance, Reeda refers to a customary public assembly or council gathering where elders, clan representatives, and community members meet to deliberate on local matters. It functions as a participatory democratic forum for resolving disputes, making collective administrative decisions, and enacting community laws according to customary legal systems.",,,,,,,,
171,K052,What is the traditional assembly term Reeda in Hadiya and parts of Kambaata?,Customary Law,Claude,2026-08-11,"No reliable results confirming ""Reeda"" as an assembly term in Hadiya or Kambaata — I can't verify this one either.",,,,,,,,
172,K052,What is the traditional assembly term Reeda in Hadiya and parts of Kambaata?,Customary Law,DeepSeek,2026-08-11,"I could not find a specific reference to ""Reeda"" as a traditional assembly term in the search results. Instead, the sources describe a ""Heera"" as a key lower-level administrative unit with its own council and rules, handling violations of the community's Seera code of conduct .",,,,,,,,
173,K053,What is the Maxóo (Maxo) season in Kambaata calendar?,Calendar / Timekeeping,ChatGPT,2026-08-10,"Maxóo (Maxo) is the traditional Kambaata season associated with the main rainy period, important for farming and crop growth.",,,,,,,,
174,K053,What is the Maxóo (Maxo) season in Kambaata calendar?,Calendar / Timekeeping,Gemini,2026-08-11,"In the traditional Kambaata calendar, Maxóo (or Maxo) is the primary dry season that corresponds roughly to the winter period (Bega) from December through February. Characterized by sunny days, cooler night temperatures, and the post-harvest period, it is traditionally a key season for community gatherings, cultural festivities, and weddings.",,,,,,,,
175,K053,What is the Maxóo (Maxo) season in Kambaata calendar?,Calendar / Timekeeping,Claude,2026-08-11,"No reliable results confirming ""Maxóo"" or ""Maxo"" as a Kambaata calendar season — I can't verify this one.",,,,,,,,
176,K053,What is the Maxóo (Maxo) season in Kambaata calendar?,Calendar / Timekeeping,DeepSeek,2026-08-11,"Based on the available search results, I could not find any specific reference to a season called Maxóo (or Maxo) in the Kambaata calendar. The search results discuss the Ethiopian calendar or describe the calendar and seasons of the Kamba people of Kenya (who are a distinct ethnic group), but do not contain information about Kambaata seasonal terms.",,,,,,,,
177,K054,What is the Hagúu season in Kambaata calendar?,Calendar / Timekeeping,ChatGPT,2026-08-10,"Hagúu is the traditional Kambaata season associated with the dry period, following the main rainy season.",,,,,,,,
178,K054,What is the Hagúu season in Kambaata calendar?,Calendar / Timekeeping,Gemini,2026-08-11,"In the Kambaata calendar, Hagúu refers to the dry season. It is characterized by dry, warmer weather and harvest activities, marking the transition away from the main rainy periods.",,,,,,,,
179,K054,What is the Hagúu season in Kambaata calendar?,Calendar / Timekeeping,Claude,2026-08-11,"No reliable results confirming ""Hagúu"" as a Kambaata calendar term — I can't verify this one either.",,,,,,,,
180,K054,What is the Hagúu season in Kambaata calendar?,Calendar / Timekeeping,DeepSeek,2026-08-11,"I could not find any specific reference to a season called Hagúu in the Kambaata calendar from the available search results.

The search results discuss the agricultural life of the Kambaata, noting the importance of seasons for farming and that cattle are especially fed with enset leaves in the dry season, but they do not mention this specific seasonal term.",,,,,,,,
181,K055,What Gregorian dates correspond to the Kambaata month Hamilée-ta?,Calendar / Timekeeping,ChatGPT,2026-08-10,Hamilée-ta generally corresponds to December–January in the Gregorian calendar.,,,,,,,,
182,K055,What Gregorian dates correspond to the Kambaata month Hamilée-ta?,Calendar / Timekeeping,Gemini,2026-08-11,The Kambaata month Hamilée-ta (corresponding to Hamle in the broader Ethiopian calendar) generally runs from July 8 to August 6 in common Gregorian years.,,,,,,,,
183,K055,What Gregorian dates correspond to the Kambaata month Hamilée-ta?,Calendar / Timekeeping,Claude,2026-08-11,"No reliable results confirming ""Hamilée-ta"" as a Kambaata month or its Gregorian equivalent — I can't verify this one.",,,,,,,,
184,K055,What Gregorian dates correspond to the Kambaata month Hamilée-ta?,Calendar / Timekeeping,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific Gregorian date conversion for the Kambaata month Hamilée-ta.
The search results primarily describe the calendar of the Kamba people of Kenya, who are a distinct ethnic group from the Kambaata of Ethiopia, and do not contain this specific information for the Kambaata.",,,,,,,,
185,K056,What is Sanná in the traditional Kambaata calendar?,Calendar / Timekeeping,ChatGPT,2026-08-10,"Sanná is a traditional Kambaata calendar month, generally corresponding to January–February in the Gregorian calendar.",,,,,,,,
186,K056,What is Sanná in the traditional Kambaata calendar?,Calendar / Timekeeping,Gemini,2026-08-11,"In the Kambaata language, sanná means ""season,"" ""period,"" or ""time"" (and can also refer to a ""week"").  Rather than being the name of a specific month, it is the general term used in the traditional calendar to designate a seasonal period or time of year—such as maxóo sanná (the dry season period) or abábu bata'ó sanná (the flowering/blossoming season).",,,,,,,,
187,K056,What is Sanná in the traditional Kambaata calendar?,Calendar / Timekeeping,Claude,2026-08-11,"No reliable results confirming ""Sanná"" as a term in the Kambaata calendar — I can't verify this one.",,,,,,,,
188,K056,What is Sanná in the traditional Kambaata calendar?,Calendar / Timekeeping,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to Sanná in the traditional Kambaata calendar. The search results only describe the calendar of the Kamba people of Kenya, who are a distinct ethnic group from the Kambaata of Ethiopia .",,,,,,,,
189,K057,What is the Hezzeettú weekly cycle?,Calendar / Timekeeping,ChatGPT,2026-08-10,Hezzeettú is a traditional Kambaata weekly cycle/day-counting system used to organize time and recurring activities.,,,,,,,,
190,K057,What is the Hezzeettú weekly cycle?,Calendar / Timekeeping,Gemini,2026-08-11,"In traditional Kambaata culture, the Hezzeettú weekly cycle is an eight-day market and temporal cycle (derived from hezzeettu, meaning ""eight"") that traditionally governs local trade and social scheduling. Under this rotating system, regional open-air markets recur every eight days across different communities rather than adhering to a standard seven-day week.",,,,,,,,
191,K057,What is the Hezzeettú weekly cycle?,Calendar / Timekeeping,Claude,2026-08-11,"No reliable results confirming ""Hezzeettú"" as a term for a Kambaata weekly cycle — I can't verify this one.",,,,,,,,
192,K057,What is the Hezzeettú weekly cycle?,Calendar / Timekeeping,DeepSeek,2026-08-11,"I could not find any specific reference to ""Hezzeettú"" as a weekly cycle in Kambaata culture from the available search results. The results primarily discuss the timekeeping and calendar of the Kamba people of Kenya, who are a distinct ethnic group from the Kambaata of Ethiopia, and do not contain this specific term.",,,,,,,,
193,K058,What is the Sada grass used for in fandaano rituals?,Traditional Religion,ChatGPT,2026-08-10,"Sada grass is used in Fandaano rituals as a sacred symbol of blessing, purification, and peace.",,,,,,,,
194,K058,What is the Sada grass used for in fandaano rituals?,Traditional Religion,Gemini,2026-08-11,"In Fandaano rituals, Sada grass (fresh green grass) is used as a sacred symbol of purification, life, and peace to sanctify ritual spaces and offer blessings. During ceremonies, it is strewn across ground floors or held during prayers to invoke harmony, fertility, and divine favor from Waa (God).",,,,,,,,
195,K058,What is the Sada grass used for in fandaano rituals?,Traditional Religion,Claude,2026-08-11,"No reliable results confirming ""Sada"" grass or its use in fandaano rituals — I can't verify this one.",,,,,,,,
196,K058,What is the Sada grass used for in fandaano rituals?,Traditional Religion,DeepSeek,2026-08-11,"I could not find any specific information on the use of ""Sada"" grass in Fandaano rituals from the available search results.

The search results focus on medicinal plant use by the Kamba people of Kenya, who are a distinct ethnic group from the Kambaata of Ethiopia, and do not contain this specific cultural information.",,,,,,,,
197,K060,What is Geeshsha in Kambaata cultural hospitality?,Food & Drinks,ChatGPT,2026-08-10,"Geeshsha refers to traditional Kambaata hospitality and welcoming of guests, often involving food, drink, and respectful social interaction.",,,,,,,,
198,K060,What is Geeshsha in Kambaata cultural hospitality?,Food & Drinks,Gemini,2026-08-11,"In Kambaata culture, Geeshsha translates to ""pure,"" ""clean,"" or ""sacred.""

When applied to hospitality, it refers to the highest standard of moral purity, wholehearted sincerity, and spiritual respect extended to guests—ensuring food, lodging, and host intentions are undefiled and offered with unreserved honor.",,,,,,,,
199,K060,What is Geeshsha in Kambaata cultural hospitality?,Food & Drinks,Claude,2026-08-11,"No reliable results confirming ""Geeshsha"" as a Kambaata hospitality term — I can't verify this one.",,,,,,,,
200,K060,What is Geeshsha in Kambaata cultural hospitality?,Food & Drinks,DeepSeek,2026-08-11,"I could not find any specific reference to Geeshsha as a term related to hospitality in Kambaata culture from the available search results. The search results focus on hospitality among the Kamba people of Kenya and other African groups, who are distinct from the Kambaata of Ethiopia .

",,,,,,,,
201,K061,What is the Ceecaara post-festival market?,Trade & Exchange,ChatGPT,2026-08-10,"Ceecaara is a traditional Kambaata post-festival market, where people gather after festivals to trade goods, socialize, and celebrate together.",,,,,,,,
